seconds	status	phase	test
0.396105	pass	e2e	e2e_literal_shift_operand_type_verify.c26
0.345712	pass	e2e	e2e_mem_region_cfg_missing_mismatch.c26
0.376665	pass	e2e	e2e_mem_region_cfg_size_mismatch.c26
0.306814	pass	e2e	e2e_mem_region_cfg_start_mismatch.c26
0.308672	pass	e2e	e2e_mem_region_cfg_type_mismatch.c26
0.373538	pass	e2e	e2e_member_store_verify.c26
0.392360	pass	e2e	e2e_multideref_verify.c26
0.429335	pass	e2e	e2e_named_memory_regions.c26
0.415917	pass	e2e	e2e_null_pointer_literal_argument_verify.c26
0.398705	pass	e2e	e2e_object_replica_region_abi_mismatch_fail.c26
0.456152	pass	e2e	e2e_ordinary_constant_expr_compound_verify.c26
0.444490	pass	e2e	e2e_peephole_copy_verify.c26
0.418192	pass	e2e	e2e_pointer_difference_verify.c26
0.381253	pass	e2e	e2e_pointer_machine_helpers_verify.c26
0.960756	pass	e2e	e2e_ref_parameter_matrix_verify.c26
0.383734	pass	e2e	e2e_register_counted_loop_verify.c26
0.324852	pass	e2e	e2e_register_parameter_verify.c26
0.398044	pass	e2e	e2e_return_memory_verify.c26
0.483312	pass	e2e	e2e_scalar_braced_init_verify.c26
0.501548	pass	e2e	e2e_scratch_pool_lifetime_verify.c26
0.648420	pass	e2e	e2e_shift_helper_ptr0_preserve_verify.c26
0.330430	pass	e2e	e2e_shortcut_signedness_cast_verify.c26
0.287658	pass	e2e	e2e_signed_builtin_compare_verify.c26
0.529759	pass	e2e	e2e_simulator_dump_mem_hex.c26
0.335501	pass	e2e	e2e_simulator_flag_order.c26
0.393058	pass	e2e	e2e_simulator_rom_write_protected.c26
0.507809	pass	e2e	e2e_static_activation_name_collision_verify.c26
0.527320	pass	e2e	e2e_static_parameter_cycle_cross_tu_fail.c26
0.403916	pass	e2e	e2e_switch_case_expr_verify.c26
0.300302	pass	e2e	e2e_ternary_assignment_precedence_verify.c26
0.348001	pass	e2e	e2e_typedef_alias_verify.c26
0.651114	pass	e2e	e2e_vcs_call_stack_depth_verify.c26
0.429613	pass	e2e	e2e_vcs_init_stack_reserve_verify.c26
0.388517	pass	e2e	e2e_vcs_ram_partition_verify.c26
0.477843	pass	e2e	e2e_vcs_ram_reserve_overflow_fail.c26
0.411979	pass	e2e	e2e_visual_binary_literal_verify.c26
0.762177	pass	e2e	e2e_wide_scalar_core.c26
0.354480	pass	e2e	e2e_writeonly_pointer_verify.c26
0.708721	pass	e2e	e2e_zeropage_init_archive_verify.c26
0.428326	pass	e2e	e2e_zeropage_init_cross_tu_verify.c26
0.444159	pass	e2e	e2e_zeropage_init_verify.c26
0.249724	pass	e2e	example_assembly_allowlist.pl
0.741873	pass	e2e	fixed_scalar_runtime.pl
0.298922	pass	e2e	fp_removed.pl
0.798495	pass	e2e	function_code_result_region_placement.pl
0.466490	pass	e2e	function_mem_region_placement.pl
0.284797	pass	e2e	generic_target_bundle_pruned.pl
0.784855	pass	e2e	inline_ref_specialization_e2e.pl
0.994201	pass	e2e	inline_value_specialization_e2e.pl
0.199014	pass	e2e	interrupt_runtime_pruned.pl
0.962058	pass	e2e	linker_banked_archive_reporting.pl
1.325240	pass	e2e	linker_banked_auto_placement.pl
2.322882	pass	e2e	linker_banked_image_model.pl
0.620279	pass	e2e	linker_banked_jsr_callstack.pl
2.269776	pass	e2e	linker_banked_placement_modes.pl
2.945982	pass	e2e	linker_banked_relocation_validation.pl
1.524630	pass	e2e	linker_banked_reset_bridges.pl
1.197538	pass	e2e	linker_branch_annotations.pl
0.462536	pass	e2e	linker_branch_metadata.pl
2.054220	pass	e2e	linker_c26_cartridge_topology.pl
2.840005	pass	e2e	linker_c26_mem_authority.pl
1.007149	pass	e2e	linker_cartridge_usage.pl
5.104314	pass	e2e	linker_dummy_read_hazards.pl
0.739153	pass	e2e	linker_function_page_placement.pl
0.658778	pass	e2e	linker_hard_page_containment.pl
0.755558	pass	e2e	linker_human_listing.pl
0.643260	pass	e2e	linker_index_range.pl
1.043884	pass	e2e	linker_nmos_wrap_hazards.pl
0.956311	pass	e2e	linker_ram_usage.pl
0.143493	pass	e2e	linker_requires_explicit_script.test
0.941861	pass	e2e	linker_segment_alignment.pl
0.655096	pass	e2e	linker_soft_page_preference.pl
0.935499	pass	e2e	linker_startup_main_generic.pl
0.972962	pass	e2e	linker_stella_sidecars.pl
1.678873	pass	e2e	optimizer_inline_ir_e2e.pl
0.866213	pass	e2e	optimizer_inline_legality_e2e.pl
2.578611	pass	e2e	optimizer_inline_profit_e2e.pl
2.479214	pass	e2e	optimizer_inline_reachability_e2e.pl
0.175372	pass	e2e	parser_deref_index_precedence_ast.test
0.131945	pass	e2e	parser_paren_deref_postinc_ast.test
0.136526	pass	e2e	parser_pointer_postinc_deref_ast.test
0.855852	pass	e2e	phase_overlay.pl
3.192482	pass	e2e	replicated_rom_missing_copy.pl
1.254249	pass	e2e	replicated_rom_placement.pl
1.707017	pass	e2e	replicated_rom_separate_objects.pl
1.111713	pass	e2e	return_local_coalescing.pl
1.788951	pass	e2e	runner_failure_summary_smoke.test
0.705555	pass	e2e	runner_single_file_selection_smoke.test
2.628421	pass	e2e	runner_timing_report_smoke.pl
1.177753	pass	e2e	runtime_workspace_split.pl
0.963758	pass	e2e	scratch_lifetime_overlay.pl
0.150073	pass	e2e	simulator_cli_reordered_trace_cfg_smoke.test
0.090839	pass	e2e	simulator_ro_cfg_smoke.test
0.203230	pass	e2e	software_stack_inventory.pl
0.806411	pass	e2e	source_suffix_migration.pl
1.935038	pass	e2e	source_tree_hygiene.pl
1.667376	pass	e2e	split_memory_function_returns.pl
1.357174	pass	e2e	split_memory_generic_regions.pl
1.068508	pass	e2e	split_memory_value_parameters.pl
0.518669	pass	e2e	startup_large_records.pl
8.847703	pass	e2e	superchip_allocation.pl
10.122135	pass	e2e	superchip_function_returns.pl
6.085016	pass	e2e	superchip_locals.pl
7.165228	pass	e2e	superchip_parameters.pl
5.521195	pass	e2e	superchip_static_locals.pl
0.275998	pass	e2e	template_contract_unused_link_error_test.c26
0.336140	pass	e2e	template_instantiation_link_verify.c26
0.342835	pass	e2e	template_lifecycle_link_verify.c26
0.211522	pass	e2e	template_lifecycle_missing_draw_link_error_test.c26
0.234733	pass	e2e	template_lifecycle_missing_init_link_error_test.c26
0.181560	pass	e2e	template_lifecycle_missing_overscan_link_error_test.c26
0.265764	pass	e2e	template_lifecycle_missing_vblank_link_error_test.c26
1.373845	pass	e2e	tool_unsupported_option_help.pl
1.143511	pass	e2e	unicode_identifier_mangle.pl
4.304479	pass	e2e	vcs_0840.pl
4.467692	pass	e2e	vcs_0fa0.pl
